ClaimId,PetId,ClaimDate,ClaimAmount
0,9273,2014-02-25,389.65
1,1988,2014-03-10,455.4
2,2452,2014-04-02,1953.79
3,3658,2014-04-05,243.74
5,9147,2014-03-18,206.42
6,270,2014-04-02,183.06
7,9587,2014-05-19,519.05
8,228,2014-05-22,39.1
9,3608,2014-06-07,193.2
10,2966,2014-05-30,623.71
11,5424,2014-08-11,122.48
12,4747,2014-08-18,297.79
13,1203,2014-11-17,787.23
14,4489,2014-11-18,99.54
15,7982,2014-11-18,341.7
16,5341,2014-05-27,373.75
17,5341,2014-11-12,34.5
18,5341,2014-11-10,619.85
19,9865,2015-01-08,95.93
20,5948,2015-01-29,71.3
21,5948,2015-01-28,474.67
22,5948,2014-10-31,14.37
23,5948,2014-10-11,10.92
24,5948,2014-10-09,14.37
25,8585,2015-08-07,78.31
26,8523,2015-08-19,216.96
27,9422,2015-07-31,336.95
28,4260,2015-09-10,88.9
29,4260,2015-09-11,46.23
30,6990,2015-09-13,1832.12
31,4260,2015-05-19,140.64
32,1600,2015-09-24,3514.34
33,5889,2015-09-20,690.0
34,1736,2015-09-30,144.05
35,8129,2015-10-05,25.61
36,4438,2015-12-25,27.53
37,6144,2016-02-29,100.4
38,6144,2016-02-11,83.95
39,6005,2016-02-19,306.61
40,7870,2016-03-12,178.2
41,7585,2016-06-27,188.94
42,4053,2016-08-19,112.8
43,4053,2016-08-20,236.98
44,7621,2016-09-16,103.61
45,6405,2016-09-16,108.11
46,7044,2016-09-16,338.1
47,707,2016-09-16,283.9
48,707,2016-09-15,247.25
49,951,2017-09-17,220.96
50,5175,2018-05-04,252.37
51,3622,2018-04-29,200.1
52,3746,2018-02-10,14.03
53,3746,2018-04-12,14.03
54,3484,2018-05-04,361.35
55,356,2018-05-16,72.9
56,356,2018-05-01,38.8
57,356,2018-06-12,72.9
58,356,2018-03-30,72.9
59,6201,2018-08-16,18.34
60,5342,2018-09-25,270.89
61,4267,2018-10-06,164.45
62,4267,2018-10-03,245.87
63,8703,2018-10-22,227.7
64,66,2018-08-06,46.56
65,619,2018-10-23,145.64
66,9640,2018-11-23,342.08
67,493,2018-11-06,5165.56
68,493,2018-11-07,392.39
69,9056,2018-12-30,550.91
70,9056,2018-12-31,46.0
71,9056,2018-12-09,212.77
72,6000,2019-01-05,20.15
73,6305,2019-02-19,303.84
74,9255,2019-02-16,152.81
100,7714,2019-05-10,304.4
110,2397,2019-06-08,99.46
115,2397,2019-06-01,23.29
124,6638,2016-09-11,1739.37
125,4274,2016-09-14,115.2
129,4462,2017-12-28,349.63
130,8433,2018-01-01,231.31
131,6431,2017-12-12,161.28
132,2806,2019-02-04,179.11
134,2725,2017-01-09,92.6
135,2835,2017-01-10,72.29
136,5098,2017-01-11,495.98
137,6846,2016-11-01,163.42
138,19,2017-01-11,32.2
139,8838,2017-01-07,128.43
140,8575,2017-01-07,121.9
141,8575,2016-12-31,92.0
142,7682,2016-11-17,851.83
143,7682,2016-09-29,63.51
144,3486,2016-11-10,145.94
145,3486,2016-11-17,37.54
146,3486,2017-01-09,46.94
147,4053,2017-01-06,148.41
148,1775,2017-01-11,401.43
149,6648,2017-01-02,157.53
150,8307,2016-12-23,4508.56
151,4601,2017-01-10,132.96
152,2552,2017-01-11,343.06
153,19,2017-01-03,40.25
154,19,2016-09-20,115.0
155,3783,2016-09-13,395.08
156,3783,2016-10-03,45.36
157,1554,2016-10-29,1471.99
158,1554,2015-03-03,185.25
159,1554,2016-09-19,760.96
160,1554,2016-12-22,27.05
161,1554,2016-12-06,38.52
162,1554,2016-11-01,50.65
163,1554,2016-10-04,42.5
164,3803,2017-01-07,47.96
165,3733,2017-01-04,5402.3
166,7243,2017-01-11,40.25
167,3205,2017-01-06,28.96
168,1994,2017-01-09,39.35
169,7322,2016-11-10,212.11
170,7322,2016-11-14,53.47
171,7322,2016-11-09,201.25
174,6061,2017-01-12,17.36
175,1878,2017-01-05,124.81
176,3633,2017-01-12,1768.12
177,3633,2017-01-12,2073.74
178,3452,2017-01-06,289.95
179,8918,2016-12-16,693.45
180,5772,2017-01-10,93.44
181,1914,2017-01-11,1008.25
182,5917,2017-01-13,155.24
183,5091,2016-12-01,26.91
184,5098,2017-01-13,126.73
185,9193,2017-01-13,55.37
186,1902,2017-01-06,3470.47
187,1902,2017-01-05,474.1
188,2711,2017-01-13,485.62
189,879,2017-01-13,89.09
190,6959,2017-01-05,288.65
191,6042,2016-12-12,69.86
192,6042,2016-12-19,25.42
193,6042,2017-01-12,101.54
194,879,2017-01-13,966.77
195,8559,2016-02-29,149.34
196,8559,2014-03-20,105.96
197,8559,2016-03-04,73.37
198,8559,2016-06-28,59.2
199,6509,2017-01-13,1144.7
200,1796,2016-12-12,235.75
201,6412,2017-01-03,39.28
202,2372,2017-01-14,1162.65
203,1812,2017-01-14,508.07
204,8287,2017-01-11,28.06
205,1809,2017-01-14,203.58
206,2350,2016-12-13,2834.97
207,2350,2016-12-23,42.94
208,2064,2017-01-14,52.99
209,5572,2017-01-07,3105.23
210,1388,2017-01-14,112.68
211,5332,2017-01-13,266.8
212,6405,2016-11-30,414.0
213,6405,2017-01-11,230.0
214,6405,2016-12-05,230.0
215,2659,2017-01-10,35.65
216,2659,2017-01-13,56.35
217,3957,2016-12-24,64.4
218,3957,2016-12-22,116.15
219,5378,2017-01-13,63.09
220,7962,2017-01-16,46.8
