PetId,EnrollDate,CancelDate,Species,Breed,AgeAtEnroll
0,2015-08-11,2018-07-13,Dog,Mixed Breed,5 years old
1,2014-02-15,2016-01-25,Cat,Mixed Breed,3 years old
2,2014-12-20,,Dog,French Bulldog,8 weeks to 12 months old
3,2015-01-09,2015-01-14,Dog,Mixed Breed,1 year old
4,2014-07-20,,Cat,Mixed Breed,8 weeks to 12 months old
5,2011-09-02,2014-05-07,Dog,Chihuahua,8 weeks to 12 months old
6,2011-03-01,2013-10-07,Dog,Mixed Breed,8 weeks to 12 months old
7,2017-10-09,,Dog,Chihuahua,1 year old
8,2014-06-08,,Dog,Golden Retriever,8 weeks to 12 months old
9,2015-10-04,2016-05-03,Dog,Mixed Breed,4 years old
10,2015-10-27,2017-11-28,Cat,Mixed Breed,4 years old
11,2016-06-26,2016-10-07,Cat,Mixed Breed,8 weeks to 12 months old
12,2014-09-25,2014-09-29,Dog,Mixed Breed,8 weeks to 12 months old
13,2019-07-15,,Cat,Mixed Breed,8 weeks to 12 months old
14,2010-11-13,2018-09-06,Dog,Mixed Breed,7 years old
15,2013-02-11,,Dog,Mixed Breed,7 years old
16,2017-01-04,2019-04-10,Dog,Chihuahua,8 weeks to 12 months old
17,2014-10-25,2015-02-06,Dog,Mixed Breed,8 weeks to 12 months old
18,2012-07-03,2013-05-21,Dog,Mixed Breed,8 weeks to 12 months old
19,2015-05-12,,Dog,Mixed Breed,8 weeks to 12 months old
20,2019-11-11,,Dog,Golden Retriever,1 year old
21,2010-11-05,2013-06-20,Dog,Mixed Breed,8 weeks to 12 months old
22,2013-07-21,2013-10-10,Dog,Mixed Breed,3 years old
23,2014-03-19,2014-12-30,Dog,Mixed Breed,8 weeks to 12 months old
24,2017-03-22,2017-05-06,Dog,Golden Retriever,8 weeks to 12 months old
25,2015-04-19,,Cat,Mixed Breed,8 weeks to 12 months old
26,2013-03-22,2014-03-18,Dog,Mixed Breed,10 years old
27,2019-05-02,,Dog,Chihuahua,9 years old
28,2017-06-01,,Cat,Mixed Breed,1 year old
29,2019-08-20,2019-10-01,Cat,Mixed Breed,2 years old
30,2014-11-17,2015-11-20,Cat,Mixed Breed,1 year old
31,2015-08-10,,Cat,Mixed Breed,7 years old
32,2015-07-16,,Dog,Golden Retriever,8 weeks to 12 months old
33,2016-05-14,2016-06-15,Cat,Mixed Breed,8 weeks to 12 months old
34,2017-01-13,2018-07-30,Cat,Mixed Breed,8 weeks to 12 months old
35,2016-11-02,2018-07-01,Cat,Mixed Breed,8 weeks to 12 months old
36,2014-04-28,,Cat,Mixed Breed,8 weeks to 12 months old
37,2012-03-01,2018-07-03,Dog,Mixed Breed,1 year old
38,2018-05-01,,Dog,Mixed Breed,8 weeks to 12 months old
39,2018-11-12,2018-11-27,Cat,Mixed Breed,3 years old
40,2014-07-14,,Dog,Mixed Breed,3 years old
41,2012-07-05,,Dog,Mixed Breed,8 weeks to 12 months old
42,2012-10-26,2016-12-10,Dog,Chihuahua,4 years old
43,2019-09-29,,Dog,Golden Retriever,8 weeks to 12 months old
44,2014-12-11,,Cat,Mixed Breed,8 weeks to 12 months old
45,2015-12-17,2019-02-25,Dog,Mixed Breed,1 year old
